N2	2	1	13	07:02:00	07:02:06
N2	2	2	14A	07:02:06	07:02:34
N2	2	3	15B	07:02:34	07:02:44
N2	2	4	16B	07:02:44	07:02:51
N2	2	5	11A	07:02:51	07:03:05
N2	2	6	17B	07:03:05	07:03:12
N2	2	7	22	07:03:12	07:04:04
N2	2	8	10T	07:04:04	07:04:54
N4	2	1	13	07:21:00	07:21:06
N4	2	2	14A	07:21:06	07:21:34
N4	2	3	15B	07:21:34	07:21:44
N4	2	4	16B	07:21:44	07:21:51
N4	2	5	11A	07:21:51	07:22:05
N4	2	6	11B	07:22:05	07:22:11
N4	2	7	18	07:22:11	07:22:15
N4	2	8	21	07:22:15	07:23:08
N4	2	9	28	07:23:08	07:23:47
N4	2	10	8T	07:23:47	07:24:37
N12	2	1	13	07:33:00	07:33:06
N12	2	2	14A	07:33:06	07:33:34
N12	2	3	15B	07:33:34	07:33:44
N12	2	4	16B	07:33:44	07:33:51
N12	2	5	11A	07:33:51	07:34:05
N12	2	6	17B	07:34:05	07:34:12
N12	2	7	22	07:34:12	07:35:04
N12	2	8	23	07:35:04	07:35:23
N12	2	9	24	07:35:23	07:35:49
N12	2	10	12T	07:35:49	07:36:40
N6	2	1	13	07:46:00	07:46:06
N6	2	2	14A	07:46:06	07:46:34
N6	2	3	15B	07:46:34	07:46:44
N6	2	4	16B	07:46:44	07:46:51
N6	2	5	11A	07:46:51	07:47:05
N6	2	6	17B	07:47:05	07:47:12
N6	2	7	22	07:47:12	07:48:04
N6	2	8	23	07:48:04	07:48:23
N6	2	9	24	07:48:23	07:48:49
N6	2	10	11T	07:48:49	07:49:40
N8	2	1	13	07:50:00	07:50:06
N8	2	2	14A	07:50:06	07:50:34
N8	2	3	15B	07:50:34	07:50:44
N8	2	4	16B	07:50:44	07:50:51
N8	2	5	11A	07:50:51	07:51:05
N8	2	6	11B	07:51:05	07:51:11
N8	2	7	18	07:51:11	07:51:15
N8	2	8	21	07:51:15	07:52:08
N8	2	9	9T	07:52:08	07:52:59
N10	2	1	13	07:54:00	07:54:06
N10	2	2	14A	07:54:06	07:54:34
N10	2	3	15B	07:54:34	07:54:44
N10	2	4	16B	07:54:44	07:54:51
N10	2	5	11A	07:54:51	07:55:05
N10	2	6	11B	07:55:05	07:55:11
N10	2	7	18	07:55:11	07:55:15
N10	2	8	21	07:55:15	07:56:08
N10	2	9	28	07:56:08	07:56:47
N10	2	10	7T	07:56:47	07:57:37
S7	1	1	3T	07:00:00	07:00:50
S7	1	2	8	07:00:50	07:01:18
S7	1	3	7	07:01:18	07:01:28
S7	1	4	6A	07:01:28	07:01:32
S7	1	5	5B	07:01:32	07:01:47
S7	1	6	4A	07:01:47	07:02:24
S7	1	7	3A	07:02:24	07:02:48
S7	1	8	2	07:02:48	07:02:54
S9	1	1	1T	07:04:00	07:04:50
S9	1	2	9	07:04:50	07:05:19
S9	1	3	7	07:05:19	07:05:28
S9	1	4	6A	07:05:28	07:05:33
S9	1	5	5B	07:05:33	07:05:48
S9	1	6	4A	07:05:48	07:06:25
S9	1	7	3A	07:06:25	07:06:49
S9	1	8	2	07:06:49	07:06:55
S11	1	1	8T	07:05:00	07:05:50
S11	1	2	28	07:05:50	07:06:29
S11	1	3	21	07:06:29	07:07:22
S11	1	4	18	07:07:22	07:07:26
S11	1	5	11B	07:07:26	07:07:32
S11	1	6	4B	07:07:32	07:07:46
S11	1	7	3A	07:07:46	07:08:10
S11	1	8	2	07:08:10	07:08:16
S13	1	1	6T	07:13:00	07:13:50
S13	1	2	19	07:13:50	07:14:22
S13	1	3	12	07:14:22	07:15:05
S13	1	4	5A	07:15:05	07:15:19
S13	1	5	5B	07:15:19	07:15:34
S13	1	6	4A	07:15:34	07:16:11
S13	1	7	3A	07:16:11	07:16:35
S13	1	8	2	07:16:35	07:16:41
S15	1	1	4T	07:30:00	07:30:50
S15	1	2	12	07:30:50	07:31:33
S15	1	3	5A	07:31:33	07:31:47
S15	1	4	5B	07:31:47	07:32:02
S15	1	5	4A	07:32:02	07:32:39
S15	1	6	3A	07:32:39	07:33:03
S15	1	7	2	07:33:03	07:33:09
S17	1	1	7T	07:42:00	07:42:50
S17	1	2	28	07:42:50	07:43:29
S17	1	3	21	07:43:29	07:44:22
S17	1	4	18	07:44:22	07:44:26
S17	1	5	11B	07:44:26	07:44:32
S17	1	6	4B	07:44:32	07:44:46
S17	1	7	3A	07:44:46	07:45:10
S17	1	8	2	07:45:10	07:45:16
